n70,g71,g31
n65,g37,g51
n6,g10,g69
n35,g13,g80
n4,g86,g6
n32,g95,g63
n26,g83,g22
n21,g36,g41
n60,g98,g63
n20,g55,g81
n51,g46,g34
n69,g86,g40
n28,g38,g39
n14,g5,g19
n45,g34,g44
n39,g97,g56
n5,g20,g44
n23,g75,g93
n24,g97,g40
n54,g87,g64
n16,g86,g81
n17,g53,g37
n18,g33,g41
n63,g84,g47
n9,g84,g76
n25,g32,g46
n30,g76,g69
n31,g12,g24
n10,g99,g30
n43,g96,g62
n68,g36,g60
n34,g40,g23
n8,g77,g10
n53,g46,g82
n55,g7,g96
n38,g50,g11
n33,g88,g2
n62,g42,g60
n11,g20,g13
n27,g24,g23
n50,g66,g28
n44,g76,g55
n12,g35,g93
n67,g96,g75
n0,g6,g74
n22,g67,g71
n58,g20,g25
n36,g85,g58
n42,g25,g15
n61,g35,g80
n3,g4,g70
n29,g63,g59
n47,g87,g76
n49,g79,g85
n52,g79,g11
n59,g50,g33
n57,g66,g25
n66,g59,g80
n37,g37,g26
n13,g67,g23
n40,g0,g88
n19,g95,g22
n46,g27,g42
n7,g8,g46
n15,g46,g2
n48,g4,g13
n41,g31,g49
n64,g67,g20
n56,g56,g49
n2,g79,g60
n1,g74,g13
