n70,g79,g82
n65,g77,g54
n6,g11,g45
n35,g27,g21
n4,g43,g27
n32,g77,g60
n72,g38,g39
n74,g17,g42
n26,g88,g76
n21,g93,g2
n60,g44,g27
n20,g97,g45
n73,g3,g30
n51,g22,g4
n69,g82,g69
n71,g85,g16
n28,g91,g40
n77,g40,g95
n14,g49,g9
n45,g5,g63
n39,g16,g95
n5,g37,g45
n23,g96,g85
n24,g5,g10
n54,g55,g23
n16,g49,g11
n17,g24,g86
n18,g11,g90
n63,g33,g31
n9,g51,g49
n25,g15,g88
n30,g90,g89
n31,g82,g25
n10,g20,g93
n43,g96,g86
n68,g94,g85
n34,g42,g94
n8,g41,g59
n79,g34,g18
n53,g92,g7
n55,g57,g69
n38,g8,g54
n33,g9,g29
n62,g9,g21
n11,g54,g68
n27,g13,g54
n50,g10,g91
n44,g87,g69
n12,g37,g2
n67,g73,g19
n75,g64,g18
n0,g34,g66
n22,g60,g39
n58,g52,g1
n36,g45,g71
n42,g32,g74
n61,g63,g77
n78,g90,g44
n3,g17,g83
n29,g13,g35
n47,g46,g89
n49,g48,g40
n52,g35,g64
n59,g60,g20
n57,g6,g79
n66,g2,g70
n37,g7,g80
n13,g94,g61
n40,g51,g33
n19,g16,g97
n46,g31,g29
n7,g74,g85
n15,g27,g8
n48,g73,g8
n41,g12,g69
n76,g90,g79
n64,g41,g70
n56,g90,g96
n2,g65,g62
n1,g48,g0
