n70,g6,g36
n6,g23,g54
n4,g9,g32
n22,g65,g90
n21,g9,g74
n60,g22,g87
n79,g7,g97
n74,g85,g64
n69,g15,g4
n28,g70,g29
n14,g32,g65
n45,g11,g90
n5,g15,g65
n23,g36,g34
n24,g30,g0
n17,g88,g14
n54,g99,g62
n77,g98,g68
n63,g59,g75
n9,g80,g82
n25,g27,g68
n10,g40,g2
n68,g14,g13
n34,g42,g51
n72,g53,g20
n73,g81,g15
n55,g63,g42
n44,g79,g48
n16,g66,g30
n80,g93,g81
n81,g79,g41
n75,g42,g38
n66,g77,g26
n47,g0,g19
n52,g97,g19
n59,g38,g24
n57,g21,g30
n71,g33,g96
n37,g78,g82
n31,g20,g58
n19,g70,g40
n46,g78,g42
n65,g83,g74
n85,g70,g61
n1,g44,g79
n84,g64,g20
n32,g36,g24
n26,g82,g39
n20,g50,g32
n53,g88,g17
n56,g37,g54
n76,g80,g99
n38,g58,g92
n13,g86,g68
n67,g16,g30
n41,g12,g2
n18,g62,g18
n11,g73,g57
n30,g50,g78
n35,g44,g23
n8,g76,g13
n83,g83,g59
n39,g86,g27
n33,g49,g29
n27,g23,g53
n50,g28,g35
n12,g64,g50
n82,g73,g28
n0,g30,g39
n43,g2,g63
n58,g26,g29
n36,g19,g64
n42,g14,g69
n61,g12,g91
n78,g76,g24
n3,g35,g23
n29,g87,g69
n49,g39,g14
n62,g71,g88
n40,g52,g2
n51,g59,g31
n7,g47,g21
n15,g15,g71
n48,g20,g13
n64,g88,g37
n2,g66,g47
