n70,g15,g83
n65,g94,g34
n6,g76,g66
n35,g4,g12
n4,g83,g53
n32,g97,g77
n72,g38,g44
n26,g35,g26
n21,g46,g71
n60,g86,g32
n20,g41,g62
n51,g84,g55
n69,g94,g27
n71,g5,g0
n28,g42,g37
n14,g38,g27
n45,g33,g9
n39,g61,g26
n5,g92,g31
n23,g48,g17
n24,g23,g90
n54,g13,g94
n16,g24,g36
n17,g85,g16
n18,g74,g31
n63,g7,g61
n9,g81,g40
n25,g36,g14
n30,g58,g72
n31,g36,g85
n10,g20,g72
n43,g51,g50
n68,g45,g50
n34,g62,g27
n8,g72,g18
n53,g67,g71
n55,g80,g11
n38,g56,g18
n33,g4,g6
n62,g82,g89
n11,g61,g68
n27,g83,g10
n50,g89,g93
n44,g36,g35
n12,g64,g56
n67,g77,g62
n0,g74,g23
n22,g85,g67
n58,g22,g37
n36,g72,g10
n42,g8,g73
n61,g62,g73
n3,g1,g51
n29,g53,g18
n47,g70,g96
n49,g13,g87
n52,g93,g48
n59,g96,g29
n57,g78,g29
n66,g81,g94
n37,g3,g69
n13,g34,g91
n40,g23,g18
n19,g29,g93
n46,g11,g29
n7,g31,g40
n15,g22,g53
n48,g29,g69
n41,g31,g16
n64,g85,g91
n56,g30,g58
n2,g7,g55
n1,g83,g91
