n70,g85,g87
n65,g13,g20
n6,g67,g18
n35,g68,g76
n4,g2,g73
n32,g21,g75
n72,g1,g3
n26,g18,g4
n21,g17,g93
n60,g96,g44
n20,g98,g66
n51,g36,g3
n69,g15,g97
n71,g28,g4
n28,g84,g18
n14,g11,g55
n45,g57,g54
n39,g88,g11
n5,g22,g28
n23,g34,g75
n24,g64,g52
n54,g57,g72
n16,g83,g3
n17,g16,g52
n18,g97,g42
n63,g94,g49
n9,g74,g1
n25,g32,g3
n30,g30,g26
n31,g66,g65
n10,g64,g90
n43,g56,g37
n68,g68,g11
n34,g43,g50
n8,g23,g32
n53,g49,g31
n55,g83,g34
n38,g86,g99
n33,g53,g67
n62,g37,g68
n11,g94,g32
n27,g46,g97
n50,g77,g6
n44,g63,g47
n12,g49,g17
n67,g53,g36
n0,g82,g32
n22,g44,g72
n58,g98,g6
n36,g52,g23
n42,g36,g6
n61,g47,g56
n3,g99,g69
n29,g57,g23
n47,g25,g69
n49,g45,g29
n52,g11,g53
n59,g50,g56
n57,g47,g73
n66,g34,g0
n37,g35,g24
n13,g41,g71
n40,g28,g42
n19,g25,g47
n46,g27,g71
n7,g72,g19
n15,g81,g31
n48,g58,g24
n41,g54,g58
n64,g23,g35
n56,g20,g8
n2,g62,g44
n1,g38,g5
