n0,g20,g88
n1,g51,g11
n2,g80,g31
n3,g48,g86
n4,g33,g49
n5,g12,g82
n6,g84,g19
n7,g8,g47
n8,g63,g20
n9,g77,g26
n10,g60,g32
n11,g51,g10
n12,g47,g34
n13,g68,g50
n14,g61,g17
n15,g10,g89
n16,g51,g60
n17,g35,g80
n18,g16,g9
n19,g15,g59
n20,g60,g54
n21,g61,g29
n22,g54,g28
n23,g77,g51
n24,g27,g19
n25,g76,g62
n26,g4,g84
n27,g84,g44
n28,g39,g26
n29,g67,g80
n30,g31,g46
n31,g18,g89
n32,g11,g96
n33,g97,g80
n34,g30,g7
n35,g56,g0
n36,g22,g33
n37,g88,g58
n38,g42,g71
n39,g52,g49
n40,g21,g51
n41,g0,g97
n42,g48,g29
n43,g27,g28
n44,g25,g94
n45,g42,g70
n46,g69,g90
n47,g54,g7
n48,g49,g64
n49,g70,g19
n50,g49,g2
n51,g13,g59
