n0,g14,g94
n1,g17,g56
n2,g8,g66
n3,g20,g40
n4,g76,g54
n5,g84,g70
n6,g63,g57
n7,g0,g43
n8,g37,g71
n9,g49,g18
n10,g69,g55
n11,g78,g1
n12,g32,g38
n13,g34,g56
n14,g6,g36
n15,g81,g0
n16,g75,g9
n17,g89,g9
n18,g37,g36
n19,g35,g49
n20,g53,g84
n21,g29,g12
n22,g8,g58
n23,g68,g76
n24,g30,g83
n25,g55,g5
n26,g91,g61
n27,g9,g65
n28,g95,g80
n29,g45,g72
n30,g7,g61
n31,g6,g78
n32,g26,g3
n33,g7,g47
n34,g2,g40
n35,g56,g3
n36,g40,g64
n37,g35,g89
n38,g23,g80
n39,g82,g1
n40,g52,g40
n41,g72,g60
n42,g86,g0
n43,g30,g34
n44,g32,g95
n45,g63,g79
n46,g72,g46
n47,g67,g80
n48,g6,g51
n49,g67,g7
n50,g66,g46
n51,g22,g3
n52,g44,g78
n53,g81,g80
n54,g32,g15
n55,g38,g97
n56,g99,g63
n57,g50,g19
n58,g29,g84
n59,g43,g70
