n0,g67,g44
n1,g66,g71
n2,g18,g78
n3,g75,g26
n4,g14,g1
n5,g99,g14
n6,g58,g39
n7,g7,g55
n8,g78,g52
n9,g83,g74
n10,g61,g21
n11,g87,g76
n12,g17,g13
n13,g51,g53
n14,g99,g52
n15,g3,g73
n16,g79,g10
n17,g4,g13
n18,g85,g50
n19,g85,g83
n20,g61,g65
n21,g40,g24
n22,g31,g21
n23,g74,g29
n24,g63,g57
n25,g71,g18
n26,g1,g31
n27,g22,g54
n28,g43,g7
n29,g49,g92
n30,g45,g40
n31,g49,g91
n32,g41,g65
n33,g24,g54
n34,g86,g59
n35,g21,g79
n36,g22,g66
n37,g92,g6
n38,g63,g26
n39,g84,g50
n40,g48,g76
n41,g43,g99
n42,g12,g86
n43,g70,g31
n44,g77,g5
n45,g39,g93
n46,g88,g42
n47,g19,g42
n48,g39,g3
n49,g9,g67
n50,g4,g97
n51,g93,g11
n52,g84,g58
n53,g12,g84
n54,g70,g75
