n0,g3,g74
n1,g77,g69
n2,g54,g50
n3,g58,g23
n4,g85,g78
n5,g34,g20
n6,g12,g49
n7,g68,g81
n8,g27,g42
n9,g26,g59
n10,g19,g52
n11,g40,g95
n12,g93,g43
n13,g8,g5
n14,g36,g16
n15,g6,g50
n16,g56,g36
n17,g35,g40
n18,g25,g75
n19,g67,g42
n20,g87,g31
n21,g13,g3
n22,g29,g43
n23,g78,g58
n24,g11,g37
n25,g66,g29
n26,g0,g95
n27,g58,g63
n28,g87,g73
n29,g31,g83
n30,g97,g31
n31,g25,g87
n32,g16,g56
n33,g74,g24
n34,g47,g2
n35,g97,g43
n36,g74,g27
n37,g57,g87
n38,g98,g54
n39,g1,g27
n40,g0,g47
n41,g27,g17
n42,g50,g12
n43,g98,g33
n44,g88,g43
n45,g69,g98
n46,g75,g38
n47,g45,g33
n48,g53,g57
n49,g71,g72
n50,g97,g64
n51,g0,g35
n52,g84,g54
n53,g55,g28
n54,g71,g3
n55,g17,g33
n56,g61,g3
n57,g94,g35
n58,g74,g8
n59,g18,g2
n60,g69,g45
n61,g46,g0
n62,g7,g21
