n70,g96,g22
n65,g46,g6
n6,g46,g47
n35,g93,g44
n4,g4,g56
n32,g36,g12
n72,g46,g11
n74,g57,g48
n26,g31,g55
n21,g50,g97
n60,g44,g80
n20,g41,g0
n73,g95,g13
n51,g37,g74
n69,g20,g23
n71,g93,g8
n28,g55,g78
n77,g2,g79
n14,g35,g29
n45,g52,g38
n39,g58,g83
n5,g93,g17
n23,g1,g91
n24,g55,g60
n54,g72,g17
n16,g59,g8
n82,g33,g63
n17,g81,g43
n18,g91,g77
n63,g66,g98
n9,g97,g6
n25,g42,g11
n30,g28,g45
n31,g92,g55
n10,g30,g51
n43,g92,g43
n68,g3,g84
n34,g73,g26
n8,g46,g9
n79,g75,g80
n53,g48,g11
n55,g28,g35
n38,g17,g27
n33,g92,g84
n62,g22,g52
n11,g53,g73
n27,g6,g1
n50,g64,g33
n44,g23,g95
n12,g49,g60
n67,g26,g62
n75,g3,g97
n80,g97,g65
n0,g75,g54
n22,g15,g16
n81,g54,g81
n58,g73,g76
n36,g59,g52
n42,g58,g96
n61,g48,g69
n78,g7,g40
n3,g5,g17
n29,g47,g84
n47,g77,g75
n49,g61,g86
n52,g27,g31
n59,g50,g51
n57,g68,g17
n66,g21,g14
n37,g70,g43
n13,g1,g72
n40,g30,g38
n19,g47,g91
n46,g4,g8
n7,g13,g76
n15,g53,g27
n48,g90,g60
n41,g14,g1
n76,g85,g19
n64,g6,g65
n56,g82,g97
n2,g94,g42
n1,g36,g32
