n70,g58,g79
n65,g92,g52
n6,g56,g44
n35,g17,g6
n4,g64,g35
n32,g5,g57
n72,g64,g25
n74,g98,g28
n26,g24,g32
n21,g90,g28
n60,g14,g23
n20,g10,g64
n73,g47,g21
n51,g0,g88
n69,g90,g41
n71,g41,g40
n28,g89,g77
n77,g2,g51
n14,g83,g58
n45,g45,g55
n39,g90,g48
n5,g33,g92
n23,g26,g36
n24,g38,g15
n54,g8,g61
n16,g99,g25
n82,g70,g99
n17,g37,g30
n18,g55,g61
n63,g44,g63
n9,g77,g46
n25,g38,g37
n30,g41,g81
n31,g8,g66
n10,g60,g95
n43,g21,g6
n68,g96,g40
n34,g93,g50
n8,g88,g71
n79,g98,g16
n53,g26,g0
n55,g99,g66
n38,g53,g28
n33,g37,g80
n62,g5,g71
n11,g12,g90
n27,g9,g64
n50,g48,g49
n44,g95,g73
n12,g13,g53
n67,g91,g14
n75,g33,g75
n80,g95,g56
n0,g30,g93
n22,g57,g47
n81,g39,g78
n58,g76,g90
n36,g44,g70
n42,g30,g70
n61,g61,g67
n78,g92,g94
n3,g6,g28
n29,g43,g26
n47,g47,g76
n49,g25,g80
n52,g33,g19
n59,g35,g41
n57,g76,g93
n66,g77,g9
n37,g57,g55
n13,g52,g45
n40,g3,g38
n19,g37,g20
n46,g91,g34
n7,g80,g96
n15,g38,g43
n48,g40,g28
n41,g77,g24
n76,g89,g52
n64,g25,g58
n56,g74,g67
n2,g82,g91
n1,g96,g14
