n0,g9,g68
n1,g48,g43
n2,g44,g79
n3,g37,g90
n4,g67,g44
n5,g33,g28
n6,g13,g2
n7,g75,g93
n8,g66,g79
n9,g43,g45
n10,g74,g59
n11,g15,g93
n12,g27,g47
n13,g30,g37
n14,g93,g29
n15,g7,g88
n16,g8,g92
n17,g71,g62
n18,g6,g87
n19,g65,g0
n20,g89,g79
n21,g16,g84
n22,g97,g80
n23,g88,g30
n24,g18,g33
n25,g67,g84
n26,g48,g21
n27,g48,g29
n28,g80,g76
n29,g33,g96
n30,g30,g85
n31,g72,g6
n32,g36,g97
n33,g47,g11
n34,g67,g69
n35,g20,g17
n36,g43,g28
n37,g20,g71
n38,g12,g79
n39,g30,g90
n40,g86,g83
n41,g67,g20
n42,g88,g64
n43,g54,g0
n44,g17,g7
n45,g39,g88
n46,g33,g46
n47,g19,g48
n48,g66,g17
n49,g87,g79
n50,g31,g49
n51,g51,g44
n52,g44,g14
n53,g70,g28
n54,g80,g87
n55,g13,g82
n56,g30,g43
n57,g90,g96
n58,g63,g98
n59,g88,g20
n60,g99,g40
n61,g23,g77
n62,g11,g99
n63,g22,g17
