n0,g34,g23
n1,g49,g48
n2,g70,g22
n3,g46,g82
n4,g46,g29
n5,g37,g66
n6,g35,g39
n7,g77,g43
n8,g3,g68
n9,g10,g36
n10,g57,g47
n11,g90,g36
n12,g69,g62
n13,g51,g86
n14,g99,g18
n15,g30,g17
n16,g76,g46
n17,g60,g95
n18,g69,g37
n19,g59,g14
n20,g11,g90
n21,g0,g64
n22,g27,g73
n23,g40,g91
n24,g82,g72
n25,g19,g25
n26,g33,g75
n27,g71,g5
n28,g39,g6
n29,g12,g29
n30,g79,g30
n31,g8,g16
n32,g69,g98
n33,g50,g96
n34,g38,g1
n35,g36,g80
n36,g11,g35
n37,g65,g21
n38,g63,g75
n39,g36,g20
n40,g92,g25
n41,g38,g22
n42,g21,g10
n43,g82,g19
n44,g43,g8
n45,g99,g86
n46,g93,g92
n47,g89,g87
n48,g33,g42
n49,g86,g50
n50,g44,g33
