n0,g87,g97
n1,g65,g63
n2,g99,g70
n3,g48,g72
n4,g59,g79
n5,g81,g6
n6,g57,g54
n7,g79,g42
n8,g43,g15
n9,g12,g77
n10,g2,g92
n11,g38,g86
n12,g79,g23
n13,g16,g46
n14,g21,g9
n15,g11,g25
n16,g23,g91
n17,g6,g29
n18,g51,g31
n19,g32,g99
n20,g98,g31
n21,g47,g54
n22,g76,g99
n23,g68,g89
n24,g67,g79
n25,g1,g45
n26,g55,g60
n27,g25,g35
n28,g23,g1
n29,g71,g23
n30,g22,g11
n31,g83,g44
n32,g97,g49
n33,g66,g95
n34,g77,g10
n35,g78,g37
n36,g91,g12
n37,g94,g60
n38,g41,g84
n39,g47,g55
n40,g95,g0
n41,g58,g22
n42,g16,g11
n43,g84,g77
n44,g83,g77
n45,g63,g32
n46,g81,g2
n47,g47,g41
n48,g11,g54
n49,g25,g18
n50,g35,g1
n51,g41,g27
n52,g50,g85
n53,g35,g96
n54,g4,g33
n55,g86,g76
n56,g91,g86
n57,g84,g93
