n70,g35,g91
n65,g7,g89
n6,g66,g31
n35,g17,g85
n4,g37,g56
n32,g48,g84
n72,g97,g21
n74,g2,g85
n26,g15,g96
n21,g20,g30
n60,g17,g31
n20,g39,g83
n73,g15,g63
n51,g93,g78
n69,g32,g13
n71,g37,g64
n28,g91,g12
n77,g59,g6
n14,g96,g44
n45,g79,g23
n39,g97,g47
n5,g55,g80
n23,g81,g40
n24,g36,g6
n54,g53,g97
n16,g34,g52
n82,g24,g88
n17,g47,g86
n18,g36,g83
n63,g92,g53
n9,g28,g80
n25,g9,g70
n30,g31,g10
n31,g18,g26
n10,g50,g13
n43,g37,g69
n68,g92,g26
n34,g27,g66
n8,g0,g64
n79,g24,g18
n53,g1,g68
n55,g15,g83
n38,g26,g43
n33,g57,g79
n62,g55,g14
n11,g19,g78
n27,g81,g69
n50,g85,g86
n44,g93,g8
n12,g83,g30
n67,g42,g3
n75,g68,g7
n80,g71,g28
n0,g3,g2
n22,g65,g11
n81,g37,g40
n58,g22,g46
n36,g50,g74
n42,g25,g18
n61,g51,g52
n78,g17,g5
n3,g98,g39
n29,g49,g1
n47,g23,g12
n49,g83,g94
n52,g14,g6
n59,g29,g84
n57,g51,g40
n66,g19,g84
n37,g36,g87
n13,g85,g31
n40,g38,g95
n19,g55,g25
n46,g96,g56
n7,g85,g66
n15,g81,g92
n48,g63,g47
n41,g10,g71
n76,g20,g94
n64,g32,g79
n56,g16,g73
n2,g93,g61
n1,g36,g89
