n70,g18,g30
n65,g51,g5
n6,g9,g48
n35,g43,g99
n4,g75,g58
n32,g66,g13
n72,g97,g36
n74,g10,g96
n26,g22,g2
n21,g35,g68
n60,g53,g37
n20,g59,g29
n73,g65,g14
n51,g26,g25
n69,g20,g87
n71,g16,g90
n28,g70,g48
n77,g80,g84
n14,g29,g50
n45,g9,g56
n39,g51,g87
n5,g16,g52
n23,g23,g83
n24,g5,g65
n54,g84,g61
n16,g69,g34
n82,g35,g52
n17,g83,g93
n18,g17,g48
n63,g80,g82
n9,g92,g3
n25,g34,g12
n30,g30,g28
n31,g65,g74
n10,g32,g13
n43,g56,g75
n68,g33,g0
n34,g88,g44
n8,g98,g69
n79,g66,g96
n53,g77,g80
n55,g58,g97
n38,g6,g50
n33,g73,g31
n62,g22,g75
n11,g84,g83
n27,g19,g64
n50,g89,g38
n44,g23,g79
n12,g5,g1
n67,g39,g0
n75,g36,g69
n80,g10,g21
n0,g79,g27
n22,g44,g10
n81,g10,g90
n58,g48,g25
n36,g95,g37
n42,g9,g59
n61,g37,g22
n78,g43,g75
n3,g19,g88
n29,g98,g28
n47,g46,g94
n49,g26,g23
n52,g30,g5
n59,g33,g12
n57,g79,g0
n66,g75,g96
n37,g24,g29
n13,g63,g25
n40,g41,g40
n19,g6,g95
n46,g54,g74
n7,g96,g1
n15,g63,g14
n48,g50,g23
n41,g49,g93
n76,g87,g13
n64,g64,g81
n56,g6,g29
n2,g91,g21
n1,g64,g74
