n0,g1,g41
n1,g29,g52
n2,g4,g45
n3,g96,g91
n4,g23,g36
n5,g18,g0
n6,g85,g81
n7,g86,g87
n8,g65,g60
n9,g20,g53
n10,g63,g83
n11,g91,g85
n12,g13,g79
n13,g73,g59
n14,g38,g15
n15,g93,g4
n16,g52,g19
n17,g46,g90
n18,g21,g27
n19,g70,g1
n20,g32,g78
n21,g37,g80
n22,g41,g33
n23,g56,g33
n24,g55,g71
n25,g70,g46
n26,g27,g23
n27,g5,g80
n28,g78,g69
n29,g34,g9
n30,g19,g98
n31,g53,g88
n32,g6,g76
n33,g2,g92
n34,g32,g84
n35,g4,g92
n36,g57,g47
n37,g54,g80
n38,g52,g68
n39,g83,g37
n40,g65,g56
n41,g56,g78
n42,g66,g28
n43,g40,g69
n44,g3,g39
n45,g33,g27
n46,g73,g52
n47,g6,g99
n48,g43,g35
n49,g97,g87
n50,g60,g94
