n70,g73,g85
n65,g7,g58
n6,g16,g75
n35,g6,g32
n4,g93,g28
n32,g52,g57
n72,g69,g91
n83,g13,g68
n74,g81,g62
n26,g41,g54
n21,g13,g40
n60,g18,g7
n20,g46,g11
n73,g41,g31
n51,g72,g30
n69,g11,g21
n71,g33,g57
n28,g51,g44
n77,g94,g30
n14,g93,g97
n45,g23,g77
n39,g45,g94
n5,g85,g94
n23,g26,g35
n24,g62,g1
n54,g93,g43
n16,g33,g70
n82,g6,g25
n17,g80,g14
n18,g85,g66
n63,g30,g93
n9,g51,g35
n25,g46,g41
n30,g53,g95
n31,g84,g50
n10,g79,g30
n43,g12,g75
n68,g21,g2
n34,g29,g97
n8,g40,g23
n79,g8,g38
n53,g72,g13
n55,g7,g5
n38,g89,g71
n33,g38,g47
n62,g67,g11
n11,g36,g43
n27,g10,g86
n50,g59,g95
n44,g47,g79
n12,g85,g9
n67,g79,g20
n75,g50,g0
n80,g10,g74
n0,g45,g3
n22,g66,g78
n81,g17,g24
n58,g30,g88
n36,g86,g37
n42,g52,g87
n61,g88,g24
n78,g37,g79
n3,g11,g13
n29,g59,g89
n47,g97,g81
n49,g19,g10
n52,g26,g28
n59,g95,g88
n57,g7,g57
n66,g79,g80
n37,g31,g56
n13,g33,g17
n40,g22,g83
n19,g54,g84
n46,g70,g84
n7,g24,g74
n15,g61,g10
n48,g35,g5
n41,g19,g49
n76,g17,g9
n64,g75,g13
n56,g97,g39
n2,g41,g6
n1,g25,g75
