n70,g94,g22
n65,g93,g11
n6,g71,g42
n35,g77,g35
n4,g42,g95
n32,g4,g14
n72,g36,g97
n26,g64,g24
n21,g43,g24
n60,g96,g19
n20,g13,g38
n73,g64,g82
n51,g7,g3
n69,g29,g58
n71,g21,g25
n28,g23,g97
n14,g2,g46
n45,g69,g30
n39,g59,g89
n5,g42,g35
n23,g92,g6
n24,g9,g49
n54,g59,g55
n16,g65,g68
n17,g34,g1
n18,g48,g97
n63,g90,g97
n9,g32,g86
n25,g46,g11
n30,g3,g59
n31,g89,g66
n10,g34,g11
n43,g2,g6
n68,g26,g55
n34,g38,g4
n8,g83,g51
n53,g90,g14
n55,g87,g41
n38,g33,g55
n33,g55,g75
n62,g43,g25
n11,g51,g16
n27,g99,g47
n50,g39,g88
n44,g11,g92
n12,g16,g46
n67,g52,g7
n0,g22,g10
n22,g74,g38
n58,g72,g10
n36,g36,g20
n42,g38,g42
n61,g60,g15
n3,g1,g94
n29,g48,g24
n47,g8,g32
n49,g23,g33
n52,g17,g75
n59,g84,g95
n57,g54,g63
n66,g0,g32
n37,g60,g7
n13,g53,g63
n40,g25,g92
n19,g43,g42
n46,g16,g23
n7,g98,g48
n15,g13,g97
n48,g34,g84
n41,g9,g55
n64,g25,g29
n56,g52,g87
n2,g16,g86
n1,g26,g4
