n0,g99,g23
n1,g50,g31
n2,g51,g16
n3,g84,g70
n4,g12,g81
n5,g17,g30
n6,g61,g81
n7,g2,g46
n8,g48,g2
n9,g83,g63
n10,g12,g82
n11,g97,g4
n12,g43,g11
n13,g88,g60
n14,g8,g51
n15,g61,g18
n16,g88,g17
n17,g46,g77
n18,g40,g41
n19,g62,g40
n20,g86,g80
n21,g30,g27
n22,g59,g61
n23,g46,g84
n24,g28,g62
n25,g9,g35
n26,g56,g51
n27,g83,g59
n28,g8,g9
n29,g20,g18
n30,g14,g33
n31,g69,g78
n32,g25,g64
n33,g49,g65
n34,g27,g87
n35,g95,g30
n36,g71,g72
n37,g11,g95
n38,g47,g76
n39,g35,g76
n40,g17,g69
n41,g43,g84
n42,g89,g43
n43,g76,g61
n44,g45,g52
n45,g93,g97
