n0,g44,g71
n1,g66,g30
n2,g11,g22
n3,g0,g55
n4,g2,g23
n5,g92,g16
n6,g43,g60
n7,g55,g86
n8,g16,g48
n9,g73,g67
n10,g54,g87
n11,g76,g19
n12,g31,g57
n13,g64,g20
n14,g34,g81
n15,g86,g25
n16,g66,g69
n17,g96,g36
n18,g53,g24
n19,g48,g2
n20,g25,g62
n21,g62,g13
n22,g70,g38
n23,g53,g84
n24,g36,g54
n25,g18,g68
n26,g39,g37
n27,g25,g65
n28,g24,g29
n29,g39,g65
n30,g3,g77
n31,g90,g26
n32,g96,g59
n33,g2,g70
n34,g62,g95
n35,g50,g43
n36,g96,g8
n37,g30,g3
n38,g90,g62
n39,g18,g45
n40,g90,g69
n41,g81,g48
n42,g39,g23
n43,g57,g58
n44,g42,g58
n45,g59,g57
n46,g28,g67
