n70,g5,g63
n65,g6,g91
n6,g81,g24
n35,g93,g73
n4,g24,g21
n32,g75,g85
n72,g74,g71
n74,g52,g73
n26,g74,g4
n21,g45,g91
n60,g34,g39
n20,g93,g80
n73,g46,g93
n51,g9,g65
n69,g82,g11
n71,g59,g84
n28,g65,g75
n77,g71,g87
n14,g13,g69
n45,g22,g84
n39,g39,g20
n5,g81,g87
n23,g73,g27
n24,g67,g55
n54,g26,g89
n16,g12,g17
n17,g4,g33
n18,g81,g72
n63,g97,g59
n9,g70,g60
n25,g70,g76
n30,g96,g65
n31,g38,g44
n10,g74,g80
n43,g30,g3
n68,g54,g89
n34,g77,g3
n8,g31,g62
n53,g4,g51
n55,g46,g21
n38,g84,g54
n33,g49,g94
n62,g66,g70
n11,g39,g6
n27,g78,g9
n50,g43,g76
n44,g94,g4
n12,g22,g93
n67,g89,g72
n75,g10,g46
n0,g18,g5
n22,g24,g69
n58,g44,g54
n36,g20,g34
n42,g72,g1
n61,g30,g39
n3,g86,g83
n29,g62,g56
n47,g74,g50
n49,g45,g18
n52,g66,g40
n59,g32,g30
n57,g40,g82
n66,g40,g52
n37,g14,g68
n13,g64,g84
n40,g39,g85
n19,g8,g88
n46,g9,g49
n7,g46,g16
n15,g24,g37
n48,g49,g95
n41,g35,g86
n76,g6,g90
n64,g17,g96
n56,g8,g98
n2,g14,g8
n1,g1,g42
