n70,g74,g93
n65,g95,g86
n6,g63,g2
n35,g24,g32
n4,g25,g30
n32,g25,g17
n72,g67,g66
n74,g67,g53
n26,g7,g95
n21,g65,g78
n60,g70,g66
n20,g85,g70
n73,g81,g75
n51,g35,g95
n69,g38,g25
n71,g46,g53
n28,g48,g11
n14,g79,g30
n45,g86,g29
n39,g37,g56
n5,g59,g36
n23,g94,g39
n24,g11,g71
n54,g47,g71
n16,g7,g25
n17,g96,g60
n18,g13,g0
n63,g27,g50
n9,g84,g68
n25,g59,g61
n30,g58,g78
n31,g46,g73
n10,g54,g31
n43,g94,g56
n68,g46,g75
n34,g46,g18
n8,g81,g89
n53,g51,g60
n55,g12,g46
n38,g45,g24
n33,g89,g15
n62,g18,g5
n11,g88,g92
n27,g70,g60
n50,g63,g76
n44,g7,g36
n12,g0,g43
n67,g13,g80
n75,g54,g26
n0,g81,g99
n22,g55,g31
n58,g50,g61
n36,g65,g92
n42,g76,g48
n61,g18,g55
n3,g36,g87
n29,g94,g22
n47,g49,g62
n49,g78,g48
n52,g47,g20
n59,g92,g69
n57,g66,g90
n66,g82,g37
n37,g48,g73
n13,g59,g56
n40,g32,g87
n19,g88,g89
n46,g87,g77
n7,g30,g52
n15,g63,g47
n48,g90,g26
n41,g58,g17
n64,g7,g75
n56,g66,g20
n2,g19,g39
n1,g64,g7
