n70,g7,g48
n65,g74,g81
n6,g34,g1
n35,g78,g9
n4,g95,g26
n32,g4,g22
n72,g78,g6
n74,g59,g75
n26,g53,g47
n21,g79,g20
n60,g90,g41
n20,g19,g35
n73,g8,g80
n51,g37,g67
n69,g68,g7
n71,g9,g34
n28,g90,g69
n14,g43,g77
n45,g4,g94
n39,g16,g65
n5,g64,g11
n23,g63,g43
n24,g91,g46
n54,g79,g43
n16,g62,g1
n17,g90,g20
n18,g8,g11
n63,g75,g96
n9,g83,g1
n25,g31,g7
n30,g16,g42
n31,g24,g47
n10,g24,g34
n43,g17,g21
n68,g2,g39
n34,g56,g13
n8,g28,g15
n53,g78,g75
n55,g20,g28
n38,g52,g55
n33,g58,g61
n62,g2,g96
n11,g48,g92
n27,g14,g0
n50,g84,g91
n44,g94,g79
n12,g72,g3
n67,g19,g57
n75,g37,g64
n0,g59,g61
n22,g45,g73
n58,g43,g35
n36,g59,g11
n42,g91,g22
n61,g41,g71
n3,g55,g83
n29,g58,g99
n47,g97,g46
n49,g25,g11
n52,g98,g4
n59,g51,g45
n57,g31,g78
n66,g61,g28
n37,g68,g54
n13,g63,g47
n40,g36,g3
n19,g58,g10
n46,g16,g94
n7,g94,g77
n15,g60,g15
n48,g75,g10
n41,g45,g63
n64,g53,g98
n56,g89,g14
n2,g95,g76
n1,g36,g97
