n0,g27,g19
n1,g39,g88
n2,g18,g4
n3,g75,g71
n4,g49,g81
n5,g74,g88
n6,g99,g72
n7,g25,g38
n8,g40,g99
n9,g84,g64
n10,g33,g12
n11,g73,g51
n12,g24,g8
n13,g13,g77
n14,g66,g77
n15,g61,g15
n16,g29,g6
n17,g93,g92
n18,g84,g56
n19,g22,g95
n20,g15,g66
n21,g7,g10
n22,g97,g76
n23,g95,g9
n24,g89,g62
n25,g71,g89
n26,g98,g76
n27,g75,g55
n28,g72,g27
n29,g37,g92
n30,g54,g15
n31,g91,g94
n32,g93,g47
n33,g79,g3
n34,g74,g72
n35,g23,g89
n36,g35,g65
n37,g94,g43
n38,g60,g84
n39,g84,g78
n40,g57,g93
n41,g13,g68
n42,g74,g83
n43,g50,g16
n44,g92,g10
n45,g75,g21
n46,g4,g75
n47,g57,g78
n48,g10,g54
n49,g86,g28
n50,g24,g10
n51,g95,g87
n52,g67,g18
