n70,g95,g81
n65,g38,g21
n6,g2,g62
n35,g33,g35
n4,g63,g98
n32,g33,g8
n72,g54,g72
n74,g90,g17
n26,g96,g90
n21,g49,g44
n60,g1,g36
n20,g51,g25
n73,g96,g43
n51,g86,g11
n69,g75,g71
n71,g31,g19
n28,g46,g68
n14,g52,g89
n45,g71,g63
n39,g28,g82
n5,g45,g69
n23,g36,g90
n24,g71,g29
n54,g30,g56
n16,g64,g36
n17,g53,g8
n18,g65,g79
n63,g42,g32
n9,g36,g0
n25,g5,g0
n30,g73,g91
n31,g45,g54
n10,g28,g21
n43,g70,g7
n68,g15,g27
n34,g69,g47
n8,g44,g58
n53,g74,g67
n55,g30,g17
n38,g37,g56
n33,g59,g84
n62,g82,g42
n11,g84,g9
n27,g11,g91
n50,g16,g54
n44,g3,g0
n12,g19,g65
n67,g94,g70
n75,g10,g14
n0,g38,g23
n22,g50,g25
n58,g35,g50
n36,g72,g87
n42,g94,g22
n61,g16,g83
n3,g87,g27
n29,g42,g75
n47,g31,g40
n49,g23,g70
n52,g27,g40
n59,g19,g68
n57,g69,g61
n66,g71,g86
n37,g10,g63
n13,g25,g99
n40,g9,g93
n19,g45,g1
n46,g33,g89
n7,g63,g21
n15,g80,g7
n48,g56,g31
n41,g61,g54
n76,g89,g31
n64,g20,g80
n56,g68,g92
n2,g47,g29
n1,g96,g83
