n70,g26,g93
n65,g85,g80
n6,g1,g29
n35,g78,g46
n4,g58,g2
n32,g69,g12
n72,g92,g14
n74,g21,g45
n26,g80,g62
n21,g9,g28
n60,g79,g13
n20,g30,g53
n73,g55,g43
n51,g68,g51
n69,g74,g5
n71,g9,g51
n28,g99,g98
n14,g15,g59
n45,g76,g51
n39,g92,g6
n5,g33,g13
n23,g17,g92
n24,g90,g4
n54,g32,g11
n16,g6,g97
n17,g79,g35
n18,g77,g70
n63,g24,g6
n9,g72,g53
n25,g82,g4
n30,g91,g59
n31,g12,g13
n10,g65,g63
n43,g23,g26
n68,g11,g23
n34,g75,g29
n8,g32,g21
n53,g6,g64
n55,g59,g37
n38,g12,g65
n33,g25,g12
n62,g68,g90
n11,g11,g85
n27,g22,g66
n50,g76,g9
n44,g98,g88
n12,g88,g99
n67,g23,g18
n75,g94,g42
n0,g7,g85
n22,g85,g57
n58,g28,g76
n36,g61,g29
n42,g50,g20
n61,g75,g63
n3,g71,g43
n29,g21,g51
n47,g78,g49
n49,g33,g81
n52,g88,g79
n59,g23,g65
n57,g45,g60
n66,g89,g73
n37,g48,g40
n13,g82,g44
n40,g19,g4
n19,g31,g58
n46,g16,g74
n7,g15,g12
n15,g80,g70
n48,g94,g54
n41,g78,g74
n64,g90,g5
n56,g72,g52
n2,g82,g33
n1,g19,g17
