n0,g68,g41
n1,g55,g34
n2,g70,g65
n3,g74,g4
n4,g16,g12
n5,g62,g24
n6,g88,g63
n7,g76,g14
n8,g88,g18
n9,g42,g13
n10,g66,g51
n11,g98,g56
n12,g75,g87
n13,g75,g93
n14,g18,g10
n15,g85,g25
n16,g84,g75
n17,g79,g37
n18,g40,g87
n19,g86,g10
n20,g91,g69
n21,g86,g4
n22,g8,g29
n23,g25,g52
n24,g51,g24
n25,g47,g38
n26,g71,g32
n27,g9,g38
n28,g56,g63
n29,g35,g32
n30,g87,g50
n31,g79,g36
n32,g64,g69
n33,g73,g70
n34,g90,g16
n35,g6,g80
n36,g88,g86
n37,g10,g37
n38,g12,g38
n39,g73,g38
n40,g40,g34
n41,g48,g88
n42,g97,g78
n43,g53,g60
n44,g12,g32
n45,g25,g32
n46,g23,g99
n47,g57,g11
n48,g3,g21
n49,g91,g76
n50,g47,g89
n51,g55,g35
n52,g85,g93
n53,g98,g12
n54,g73,g46
n55,g18,g62
n56,g89,g18
n57,g47,g43
n58,g25,g81
n59,g53,g63
