n70,g68,g74
n6,g80,g33
n4,g71,g94
n22,g59,g5
n21,g33,g21
n60,g26,g67
n79,g71,g51
n74,g7,g38
n69,g82,g21
n28,g69,g44
n14,g70,g52
n45,g23,g5
n5,g10,g99
n23,g47,g63
n24,g78,g72
n17,g69,g83
n54,g40,g77
n77,g91,g76
n63,g96,g21
n9,g89,g91
n25,g53,g54
n10,g4,g37
n68,g52,g84
n34,g54,g81
n72,g76,g37
n73,g23,g40
n55,g2,g53
n44,g45,g51
n16,g27,g57
n80,g77,g30
n81,g12,g77
n75,g97,g38
n66,g62,g86
n47,g63,g67
n52,g47,g99
n59,g91,g48
n57,g11,g86
n71,g30,g40
n37,g83,g72
n31,g19,g72
n19,g51,g25
n46,g15,g2
n65,g19,g90
n85,g96,g39
n1,g95,g49
n84,g0,g71
n32,g42,g51
n26,g84,g99
n20,g21,g35
n53,g11,g93
n56,g56,g19
n76,g35,g93
n38,g56,g1
n13,g59,g23
n67,g5,g16
n41,g92,g91
n18,g86,g10
n11,g45,g5
n30,g2,g92
n35,g57,g44
n8,g11,g73
n83,g21,g87
n39,g11,g22
n33,g92,g62
n27,g90,g97
n50,g41,g77
n12,g1,g63
n82,g35,g27
n0,g62,g23
n43,g56,g82
n58,g69,g12
n36,g78,g85
n42,g53,g70
n61,g58,g4
n78,g31,g32
n3,g51,g39
n29,g60,g85
n49,g32,g19
n86,g50,g65
n62,g49,g55
n40,g2,g30
n51,g0,g16
n7,g9,g13
n15,g36,g33
n48,g84,g98
n64,g70,g85
n2,g96,g99
