n0,g10,g29
n1,g64,g60
n2,g50,g14
n3,g98,g51
n4,g54,g50
n5,g27,g38
n6,g30,g24
n7,g39,g44
n8,g16,g50
n9,g98,g64
n10,g20,g14
n11,g27,g44
n12,g71,g29
n13,g73,g30
n14,g18,g97
n15,g5,g32
n16,g97,g98
n17,g9,g81
n18,g13,g57
n19,g32,g80
n20,g98,g85
n21,g20,g5
n22,g94,g5
n23,g72,g90
n24,g98,g46
n25,g53,g45
n26,g74,g81
n27,g25,g39
n28,g86,g3
n29,g50,g13
n30,g48,g1
n31,g32,g11
n32,g48,g83
n33,g28,g61
n34,g52,g46
n35,g81,g63
n36,g57,g47
n37,g45,g79
n38,g72,g11
n39,g92,g18
n40,g4,g59
n41,g11,g14
n42,g43,g87
n43,g43,g39
n44,g19,g26
n45,g10,g19
n46,g36,g65
n47,g97,g94
n48,g44,g85
n49,g77,g35
n50,g94,g87
n51,g93,g11
n52,g40,g13
n53,g66,g44
n54,g8,g70
n55,g77,g89
n56,g26,g92
n57,g47,g29
n58,g52,g69
n59,g43,g21
n60,g87,g92
n61,g54,g6
n62,g68,g79
n63,g51,g29
