n70,g41,g35
n65,g64,g25
n6,g17,g16
n35,g81,g76
n4,g55,g91
n32,g73,g84
n72,g54,g11
n83,g35,g2
n74,g61,g78
n84,g95,g5
n26,g54,g61
n21,g19,g66
n60,g56,g31
n20,g64,g0
n73,g75,g15
n51,g67,g96
n69,g21,g85
n71,g53,g5
n28,g29,g62
n77,g29,g97
n14,g24,g92
n45,g79,g14
n39,g92,g60
n5,g9,g1
n23,g79,g80
n24,g36,g77
n54,g53,g70
n16,g93,g49
n82,g1,g19
n17,g83,g5
n18,g63,g30
n63,g79,g64
n9,g60,g46
n25,g7,g69
n30,g38,g69
n31,g34,g48
n10,g29,g16
n43,g66,g82
n68,g24,g7
n34,g62,g87
n8,g97,g22
n79,g87,g57
n53,g29,g90
n55,g12,g95
n38,g61,g63
n33,g16,g6
n62,g57,g31
n11,g13,g32
n27,g47,g58
n50,g27,g9
n44,g62,g53
n12,g28,g5
n67,g46,g85
n75,g67,g65
n80,g69,g51
n0,g92,g79
n22,g64,g62
n81,g7,g80
n58,g18,g79
n36,g99,g34
n42,g19,g17
n61,g38,g30
n78,g81,g69
n3,g88,g93
n29,g92,g25
n47,g51,g70
n49,g23,g82
n52,g50,g74
n59,g98,g65
n57,g45,g77
n66,g43,g45
n37,g43,g18
n13,g49,g1
n40,g16,g45
n19,g93,g42
n46,g0,g78
n7,g64,g53
n15,g36,g48
n48,g35,g15
n41,g58,g36
n76,g62,g94
n64,g9,g91
n56,g14,g90
n2,g80,g18
n1,g54,g30
