n70,g14,g63
n65,g17,g70
n6,g2,g49
n35,g47,g19
n4,g25,g5
n32,g8,g4
n72,g0,g82
n74,g9,g90
n26,g9,g69
n21,g10,g75
n60,g15,g50
n20,g74,g50
n73,g58,g22
n51,g57,g32
n69,g30,g52
n71,g67,g2
n28,g25,g3
n77,g57,g47
n14,g1,g13
n45,g49,g10
n39,g60,g71
n5,g82,g94
n23,g1,g34
n24,g12,g23
n54,g4,g67
n16,g0,g39
n17,g73,g27
n18,g89,g81
n63,g26,g19
n9,g41,g17
n25,g39,g73
n30,g75,g95
n31,g98,g44
n10,g48,g31
n43,g70,g35
n68,g32,g24
n34,g59,g60
n8,g5,g16
n53,g54,g59
n55,g32,g33
n38,g64,g39
n33,g76,g95
n62,g50,g87
n11,g99,g68
n27,g62,g22
n50,g48,g95
n44,g79,g5
n12,g64,g88
n67,g48,g50
n75,g72,g16
n0,g1,g45
n22,g74,g49
n58,g24,g43
n36,g64,g98
n42,g0,g93
n61,g67,g78
n3,g27,g82
n29,g15,g13
n47,g28,g56
n49,g78,g21
n52,g63,g54
n59,g10,g61
n57,g63,g97
n66,g60,g52
n37,g94,g35
n13,g69,g60
n40,g24,g41
n19,g4,g55
n46,g65,g2
n7,g28,g80
n15,g51,g24
n48,g18,g4
n41,g15,g23
n76,g88,g36
n64,g12,g25
n56,g30,g91
n2,g16,g79
n1,g21,g31
