n70,g18,g44
n65,g69,g76
n6,g26,g91
n35,g90,g41
n4,g7,g77
n32,g16,g63
n72,g17,g9
n74,g42,g39
n26,g59,g97
n21,g16,g96
n60,g14,g71
n20,g33,g85
n73,g59,g94
n51,g15,g54
n69,g25,g20
n71,g33,g53
n28,g11,g80
n14,g13,g92
n45,g87,g80
n39,g83,g61
n5,g87,g82
n23,g98,g7
n24,g56,g2
n54,g11,g62
n16,g92,g30
n17,g78,g42
n18,g85,g99
n63,g90,g9
n9,g79,g69
n25,g41,g99
n30,g91,g94
n31,g79,g30
n10,g11,g13
n43,g78,g92
n68,g15,g52
n34,g20,g71
n8,g61,g87
n53,g63,g2
n55,g96,g99
n38,g1,g30
n33,g92,g86
n62,g20,g64
n11,g49,g48
n27,g31,g45
n50,g94,g78
n44,g75,g18
n12,g63,g20
n67,g75,g23
n75,g45,g49
n0,g48,g26
n22,g39,g4
n58,g65,g27
n36,g96,g30
n42,g81,g10
n61,g31,g33
n3,g11,g5
n29,g19,g24
n47,g60,g96
n49,g44,g71
n52,g16,g22
n59,g62,g25
n57,g44,g91
n66,g37,g10
n37,g64,g50
n13,g96,g80
n40,g16,g19
n19,g47,g41
n46,g29,g86
n7,g36,g4
n15,g36,g48
n48,g25,g86
n41,g74,g35
n64,g84,g91
n56,g78,g29
n2,g28,g71
n1,g19,g98
