n0,g45,g75
n1,g92,g36
n2,g20,g72
n3,g93,g48
n4,g24,g15
n5,g90,g65
n6,g93,g17
n7,g81,g4
n8,g88,g93
n9,g46,g89
n10,g82,g10
n11,g33,g42
n12,g49,g44
n13,g71,g15
n14,g57,g20
n15,g77,g35
n16,g94,g13
n17,g73,g33
n18,g25,g34
n19,g78,g28
n20,g62,g13
n21,g81,g33
n22,g68,g47
n23,g48,g1
n24,g17,g48
n25,g80,g59
n26,g78,g13
n27,g10,g58
n28,g8,g14
n29,g61,g7
n30,g8,g4
n31,g69,g11
n32,g60,g65
n33,g84,g89
n34,g80,g29
n35,g14,g69
n36,g77,g21
n37,g99,g64
n38,g75,g2
n39,g16,g84
n40,g76,g40
n41,g43,g79
n42,g96,g61
n43,g93,g26
n44,g46,g18
n45,g61,g26
n46,g60,g86
n47,g79,g87
n48,g63,g72
n49,g39,g40
n50,g55,g90
n51,g79,g20
n52,g16,g3
n53,g28,g80
n54,g8,g55
n55,g92,g90
n56,g78,g66
n57,g92,g43
n58,g16,g87
