n0,g73,g99
n1,g61,g29
n2,g1,g29
n3,g39,g34
n4,g98,g9
n5,g89,g56
n6,g6,g59
n7,g45,g52
n8,g23,g58
n9,g12,g64
n10,g96,g47
n11,g54,g36
n12,g58,g41
n13,g79,g45
n14,g97,g68
n15,g28,g84
n16,g90,g16
n17,g59,g70
n18,g52,g18
n19,g41,g29
n20,g8,g73
n21,g5,g37
n22,g18,g12
n23,g78,g93
n24,g51,g82
n25,g21,g32
n26,g38,g85
n27,g72,g37
n28,g38,g33
n29,g67,g98
n30,g1,g37
n31,g33,g64
n32,g8,g22
n33,g89,g97
n34,g67,g35
n35,g84,g27
n36,g16,g87
n37,g38,g47
n38,g0,g62
n39,g11,g50
n40,g10,g94
n41,g80,g67
n42,g65,g15
n43,g79,g37
n44,g30,g39
n45,g97,g85
n46,g55,g62
n47,g2,g15
n48,g6,g2
n49,g26,g92
n50,g36,g12
