n0,g38,g23
n1,g39,g80
n2,g37,g97
n3,g1,g39
n4,g25,g3
n5,g6,g50
n6,g27,g34
n7,g74,g33
n8,g18,g50
n9,g31,g63
n10,g33,g54
n11,g65,g28
n12,g13,g7
n13,g77,g97
n14,g65,g27
n15,g70,g96
n16,g8,g81
n17,g50,g82
n18,g25,g58
n19,g44,g73
n20,g0,g15
n21,g83,g84
n22,g15,g80
n23,g36,g51
n24,g33,g37
n25,g69,g55
n26,g81,g15
n27,g79,g7
n28,g27,g2
n29,g1,g85
n30,g16,g33
n31,g36,g7
n32,g3,g27
n33,g85,g98
n34,g47,g42
n35,g1,g70
n36,g60,g37
n37,g80,g51
n38,g51,g16
n39,g75,g39
n40,g24,g25
n41,g41,g60
n42,g94,g46
n43,g57,g20
n44,g48,g64
n45,g58,g20
n46,g43,g67
n47,g32,g44
n48,g89,g32
n49,g16,g22
n50,g12,g40
n51,g25,g41
n52,g82,g97
n53,g73,g12
n54,g14,g49
n55,g64,g28
n56,g83,g46
n57,g10,g52
n58,g15,g69
n59,g23,g88
n60,g3,g67
n61,g98,g91
n62,g65,g76
n63,g72,g96
n64,g14,g58
n65,g56,g6
n66,g26,g78
n67,g84,g8
n68,g58,g46
n69,g62,g50
