n70,g98,g87
n6,g51,g43
n4,g5,g70
n22,g97,g78
n21,g36,g80
n60,g21,g77
n79,g13,g55
n74,g44,g39
n69,g81,g71
n28,g82,g94
n14,g41,g71
n45,g26,g74
n5,g7,g78
n23,g15,g62
n24,g24,g98
n17,g19,g86
n54,g94,g58
n77,g43,g28
n63,g68,g43
n9,g37,g90
n25,g3,g90
n10,g26,g10
n68,g10,g58
n34,g18,g62
n72,g79,g74
n73,g21,g99
n55,g51,g44
n44,g22,g55
n16,g43,g91
n80,g10,g3
n81,g99,g67
n75,g84,g18
n66,g30,g64
n47,g75,g93
n52,g22,g0
n59,g68,g59
n57,g95,g76
n71,g79,g69
n37,g30,g48
n31,g59,g26
n19,g70,g7
n46,g25,g71
n65,g86,g14
n85,g74,g75
n1,g71,g14
n84,g60,g8
n32,g15,g20
n26,g47,g90
n20,g57,g9
n53,g70,g6
n56,g84,g5
n76,g67,g22
n38,g43,g18
n13,g85,g21
n67,g42,g9
n41,g89,g14
n18,g18,g80
n11,g60,g50
n30,g96,g45
n35,g76,g39
n8,g76,g6
n83,g11,g49
n39,g80,g6
n33,g54,g76
n27,g54,g86
n50,g39,g3
n12,g12,g53
n82,g33,g88
n0,g20,g74
n43,g53,g14
n58,g9,g30
n36,g54,g95
n42,g21,g75
n61,g52,g99
n78,g53,g0
n3,g29,g54
n29,g30,g35
n49,g52,g7
n86,g32,g99
n62,g25,g84
n40,g73,g66
n51,g8,g71
n7,g60,g16
n15,g5,g11
n48,g4,g65
n64,g34,g60
n2,g21,g76
