n0,g85,g34
n1,g52,g49
n2,g3,g4
n3,g39,g63
n4,g1,g67
n5,g4,g31
n6,g99,g17
n7,g76,g78
n8,g23,g83
n9,g21,g9
n10,g47,g94
n11,g42,g50
n12,g59,g54
n13,g38,g77
n14,g80,g0
n15,g45,g32
n16,g32,g84
n17,g46,g27
n18,g67,g30
n19,g33,g96
n20,g60,g22
n21,g78,g71
n22,g81,g20
n23,g68,g41
n24,g77,g72
n25,g94,g87
n26,g75,g72
n27,g70,g84
n28,g1,g58
n29,g46,g74
n30,g20,g83
n31,g12,g50
n32,g35,g58
n33,g93,g37
n34,g55,g68
n35,g27,g11
n36,g82,g83
n37,g35,g82
n38,g99,g75
n39,g44,g92
n40,g75,g78
n41,g28,g15
n42,g54,g80
n43,g90,g67
n44,g25,g40
n45,g61,g55
n46,g70,g92
n47,g3,g26
n48,g9,g26
