n0,g48,g12
n1,g56,g50
n2,g40,g35
n3,g98,g50
n4,g35,g66
n5,g70,g46
n6,g51,g77
n7,g67,g52
n8,g45,g1
n9,g59,g64
n10,g66,g36
n11,g33,g34
n12,g0,g14
n13,g53,g60
n14,g85,g55
n15,g21,g1
n16,g18,g50
n17,g7,g78
n18,g85,g38
n19,g36,g46
n20,g82,g99
n21,g28,g52
n22,g39,g46
n23,g66,g93
n24,g81,g16
n25,g85,g74
n26,g85,g83
n27,g18,g63
n28,g34,g43
n29,g26,g47
n30,g31,g4
n31,g87,g78
n32,g26,g30
n33,g63,g24
n34,g15,g79
n35,g62,g22
n36,g13,g79
n37,g33,g77
n38,g79,g1
n39,g37,g29
n40,g89,g70
n41,g84,g5
n42,g93,g75
n43,g1,g40
n44,g91,g16
n45,g71,g21
n46,g56,g73
n47,g19,g56
n48,g87,g36
n49,g86,g24
n50,g15,g99
n51,g40,g17
n52,g74,g84
n53,g9,g76
n54,g0,g46
n55,g49,g96
n56,g43,g11
n57,g96,g5
n58,g65,g54
n59,g99,g10
n60,g15,g64
n61,g67,g98
