n0,g49,g60
n1,g27,g86
n2,g30,g92
n3,g97,g64
n4,g75,g45
n5,g79,g64
n6,g96,g79
n7,g47,g35
n8,g31,g15
n9,g59,g90
n10,g54,g18
n11,g51,g50
n12,g39,g56
n13,g20,g48
n14,g5,g99
n15,g34,g3
n16,g37,g14
n17,g43,g10
n18,g14,g39
n19,g96,g57
n20,g91,g19
n21,g6,g3
n22,g63,g85
n23,g76,g62
n24,g61,g69
n25,g28,g88
n26,g52,g54
n27,g48,g82
n28,g46,g74
n29,g45,g86
n30,g25,g38
n31,g83,g15
n32,g33,g9
n33,g38,g90
n34,g56,g99
n35,g25,g73
n36,g52,g18
n37,g65,g99
n38,g48,g74
n39,g26,g47
n40,g50,g69
n41,g36,g24
n42,g8,g67
n43,g48,g90
n44,g31,g13
n45,g36,g58
n46,g61,g24
