n0,g95,g53
n1,g43,g26
n2,g15,g59
n3,g17,g61
n4,g35,g9
n5,g50,g4
n6,g47,g4
n7,g17,g56
n8,g6,g49
n9,g11,g48
n10,g83,g79
n11,g15,g35
n12,g6,g83
n13,g53,g75
n14,g60,g73
n15,g83,g30
n16,g96,g69
n17,g60,g8
n18,g93,g80
n19,g24,g99
n20,g5,g77
n21,g9,g17
n22,g71,g66
n23,g69,g63
n24,g17,g8
n25,g6,g61
n26,g6,g20
n27,g69,g81
n28,g57,g13
n29,g10,g92
n30,g38,g85
n31,g40,g76
n32,g89,g14
n33,g8,g9
n34,g88,g98
n35,g22,g21
n36,g67,g47
n37,g11,g41
n38,g18,g41
n39,g72,g99
n40,g18,g48
n41,g33,g62
n42,g90,g82
n43,g18,g72
n44,g60,g89
n45,g32,g57
n46,g78,g46
n47,g56,g19
n48,g3,g16
n49,g46,g67
n50,g44,g73
n51,g5,g23
n52,g73,g36
n53,g87,g45
n54,g62,g19
n55,g6,g26
n56,g29,g75
n57,g44,g1
n58,g43,g97
n59,g66,g9
n60,g22,g82
