n0,g99,g82
n1,g93,g27
n2,g37,g15
n3,g57,g71
n4,g5,g21
n5,g49,g22
n6,g91,g29
n7,g82,g45
n8,g33,g41
n9,g93,g65
n10,g56,g95
n11,g87,g5
n12,g77,g52
n13,g89,g13
n14,g20,g35
n15,g92,g25
n16,g31,g26
n17,g27,g78
n18,g38,g96
n19,g6,g56
n20,g12,g65
n21,g27,g71
n22,g64,g1
n23,g97,g56
n24,g86,g3
n25,g82,g91
n26,g81,g30
n27,g1,g27
n28,g45,g9
n29,g32,g95
n30,g15,g52
n31,g96,g77
n32,g31,g49
n33,g37,g21
n34,g88,g96
n35,g22,g54
n36,g21,g16
n37,g23,g55
n38,g92,g99
n39,g10,g85
n40,g31,g28
n41,g95,g85
n42,g10,g20
n43,g91,g28
n44,g80,g20
n45,g2,g54
n46,g34,g22
n47,g57,g64
n48,g18,g8
n49,g4,g41
n50,g10,g63
n51,g61,g7
n52,g29,g48
n53,g64,g37
n54,g4,g46
n55,g77,g16
n56,g47,g11
n57,g36,g75
n58,g27,g60
n59,g5,g79
n60,g62,g17
n61,g56,g8
n62,g15,g33
n63,g77,g25
n64,g84,g30
n65,g8,g52
