n0,g60,g22
n1,g63,g53
n2,g9,g88
n3,g80,g12
n4,g33,g47
n5,g32,g60
n6,g28,g35
n7,g92,g55
n8,g41,g18
n9,g74,g41
n10,g61,g35
n11,g97,g5
n12,g52,g0
n13,g54,g93
n14,g82,g65
n15,g92,g43
n16,g99,g93
n17,g39,g24
n18,g12,g75
n19,g91,g58
n20,g88,g78
n21,g72,g9
n22,g46,g15
n23,g76,g78
n24,g43,g37
n25,g86,g94
n26,g3,g11
n27,g96,g98
n28,g32,g25
n29,g20,g92
n30,g16,g35
n31,g49,g78
n32,g28,g45
n33,g3,g14
n34,g56,g96
n35,g91,g20
n36,g46,g93
n37,g4,g31
n38,g9,g77
n39,g26,g24
n40,g0,g6
n41,g88,g48
n42,g43,g12
n43,g0,g60
n44,g8,g79
n45,g8,g14
n46,g1,g96
n47,g45,g86
n48,g43,g93
n49,g89,g63
n50,g14,g5
n51,g48,g83
n52,g68,g99
n53,g54,g68
n54,g99,g78
n55,g40,g44
n56,g50,g70
n57,g71,g82
n58,g56,g3
n59,g68,g1
n60,g71,g73
n61,g30,g95
n62,g11,g18
n63,g55,g21
n64,g27,g42
