n0,g5,g74
n1,g0,g51
n2,g6,g95
n3,g24,g32
n4,g48,g78
n5,g56,g75
n6,g9,g64
n7,g71,g94
n8,g38,g69
n9,g29,g82
n10,g76,g75
n11,g58,g38
n12,g73,g66
n13,g77,g18
n14,g66,g45
n15,g11,g83
n16,g59,g9
n17,g55,g11
n18,g15,g66
n19,g0,g58
n20,g58,g6
n21,g48,g36
n22,g58,g18
n23,g16,g50
n24,g18,g13
n25,g98,g30
n26,g88,g85
n27,g31,g95
n28,g59,g80
n29,g67,g6
n30,g43,g83
n31,g3,g13
n32,g32,g40
n33,g19,g15
n34,g95,g20
n35,g54,g56
n36,g19,g67
n37,g90,g76
n38,g70,g67
n39,g43,g7
n40,g50,g26
n41,g57,g5
n42,g38,g12
n43,g54,g51
n44,g99,g61
n45,g18,g97
n46,g87,g82
