n70,g8,g34
n65,g79,g9
n6,g40,g61
n35,g23,g58
n4,g50,g94
n32,g9,g75
n26,g56,g42
n21,g27,g42
n60,g63,g2
n20,g27,g98
n51,g42,g58
n69,g40,g94
n71,g92,g45
n28,g30,g52
n14,g76,g71
n45,g32,g12
n39,g76,g66
n5,g36,g4
n23,g89,g46
n24,g46,g4
n54,g22,g41
n16,g52,g31
n17,g15,g45
n18,g99,g38
n63,g26,g0
n9,g12,g35
n25,g12,g81
n30,g48,g59
n31,g57,g8
n10,g71,g46
n43,g27,g30
n68,g55,g7
n34,g77,g73
n8,g61,g10
n53,g37,g70
n55,g23,g82
n38,g71,g23
n33,g6,g14
n62,g19,g22
n11,g0,g11
n27,g41,g16
n50,g23,g42
n44,g87,g90
n12,g52,g70
n67,g48,g66
n0,g1,g98
n22,g45,g10
n58,g90,g99
n36,g86,g62
n42,g43,g7
n61,g11,g69
n3,g59,g77
n29,g9,g95
n47,g42,g92
n49,g75,g90
n52,g18,g83
n59,g7,g22
n57,g65,g35
n66,g53,g60
n37,g46,g48
n13,g87,g24
n40,g40,g49
n19,g60,g28
n46,g95,g43
n7,g70,g53
n15,g15,g79
n48,g96,g38
n41,g73,g23
n64,g2,g54
n56,g83,g77
n2,g67,g0
n1,g2,g57
