n70,g44,g48
n65,g48,g15
n6,g49,g54
n35,g42,g62
n4,g68,g94
n32,g57,g35
n26,g21,g61
n21,g76,g54
n60,g83,g81
n20,g82,g43
n51,g3,g63
n69,g64,g90
n28,g78,g56
n14,g79,g21
n45,g20,g97
n39,g34,g30
n5,g56,g76
n23,g56,g96
n24,g18,g7
n54,g70,g2
n16,g13,g4
n17,g33,g38
n18,g70,g28
n63,g21,g72
n9,g63,g39
n25,g30,g68
n30,g25,g32
n31,g10,g32
n10,g36,g17
n43,g86,g33
n68,g52,g0
n34,g67,g82
n8,g8,g89
n53,g78,g37
n55,g27,g21
n38,g73,g99
n33,g94,g58
n62,g90,g20
n11,g95,g45
n27,g42,g46
n50,g99,g47
n44,g89,g36
n12,g58,g16
n67,g99,g21
n0,g18,g22
n22,g23,g5
n58,g47,g60
n36,g90,g46
n42,g25,g84
n61,g1,g67
n3,g88,g16
n29,g45,g36
n47,g28,g6
n49,g19,g32
n52,g70,g74
n59,g84,g7
n57,g95,g52
n66,g90,g60
n37,g4,g33
n13,g1,g91
n40,g87,g10
n19,g51,g30
n46,g52,g76
n7,g42,g80
n15,g19,g18
n48,g74,g19
n41,g72,g34
n64,g16,g23
n56,g31,g68
n2,g5,g83
n1,g19,g33
