n70,g10,g22
n65,g71,g44
n6,g85,g24
n35,g86,g17
n4,g60,g54
n32,g81,g72
n26,g48,g92
n21,g58,g71
n60,g22,g58
n20,g90,g23
n51,g89,g87
n69,g49,g35
n28,g20,g97
n14,g82,g57
n45,g57,g10
n39,g18,g25
n5,g7,g14
n23,g66,g25
n24,g33,g9
n54,g42,g11
n16,g89,g92
n17,g1,g63
n18,g67,g52
n63,g17,g31
n9,g82,g80
n25,g77,g14
n30,g37,g6
n31,g16,g57
n10,g71,g8
n43,g93,g56
n68,g21,g81
n34,g36,g76
n8,g50,g13
n53,g40,g25
n55,g96,g42
n38,g19,g89
n33,g12,g72
n62,g9,g29
n11,g20,g23
n27,g27,g39
n50,g1,g37
n44,g6,g53
n12,g5,g92
n67,g58,g11
n0,g68,g25
n22,g72,g50
n58,g32,g86
n36,g62,g14
n42,g96,g68
n61,g93,g48
n3,g59,g86
n29,g63,g18
n47,g18,g81
n49,g45,g20
n52,g62,g24
n59,g71,g55
n57,g33,g75
n66,g6,g1
n37,g27,g84
n13,g34,g26
n40,g49,g81
n19,g43,g90
n46,g66,g71
n7,g19,g94
n15,g84,g23
n48,g53,g83
n41,g11,g65
n64,g93,g97
n56,g41,g3
n2,g84,g74
n1,g79,g48
