n70,g20,g60
n65,g74,g53
n6,g73,g39
n35,g25,g17
n4,g32,g67
n32,g67,g73
n72,g80,g41
n74,g19,g21
n26,g36,g75
n21,g34,g78
n60,g89,g87
n20,g72,g34
n73,g74,g82
n51,g84,g81
n69,g72,g83
n71,g11,g86
n28,g78,g70
n14,g93,g10
n45,g63,g35
n39,g49,g80
n5,g78,g51
n23,g96,g31
n24,g5,g95
n54,g79,g47
n16,g27,g86
n17,g32,g85
n18,g26,g68
n63,g82,g54
n9,g75,g53
n25,g13,g30
n30,g69,g96
n31,g28,g1
n10,g77,g58
n43,g4,g7
n68,g24,g30
n34,g39,g79
n8,g59,g25
n53,g58,g54
n55,g87,g3
n38,g85,g54
n33,g50,g66
n62,g48,g83
n11,g6,g19
n27,g52,g80
n50,g42,g6
n44,g64,g39
n12,g43,g51
n67,g38,g47
n0,g60,g94
n22,g58,g97
n58,g39,g8
n36,g79,g72
n42,g97,g40
n61,g45,g99
n3,g10,g64
n29,g13,g31
n47,g33,g35
n49,g42,g12
n52,g75,g54
n59,g68,g36
n57,g59,g80
n66,g98,g89
n37,g45,g22
n13,g85,g43
n40,g51,g59
n19,g64,g86
n46,g65,g25
n7,g26,g30
n15,g15,g34
n48,g59,g13
n41,g88,g9
n64,g27,g85
n56,g75,g95
n2,g96,g88
n1,g66,g30
