n0,g10,g35
n1,g55,g16
n2,g21,g96
n3,g50,g91
n4,g75,g32
n5,g44,g92
n6,g75,g97
n7,g92,g72
n8,g41,g80
n9,g79,g51
n10,g16,g64
n11,g6,g83
n12,g7,g16
n13,g14,g9
n14,g78,g66
n15,g17,g25
n16,g18,g79
n17,g48,g66
n18,g91,g66
n19,g94,g29
n20,g6,g70
n21,g67,g9
n22,g54,g78
n23,g55,g50
n24,g99,g84
n25,g74,g18
n26,g79,g98
n27,g38,g9
n28,g33,g43
n29,g83,g28
n30,g84,g49
n31,g62,g2
n32,g39,g46
n33,g79,g62
n34,g53,g36
n35,g31,g66
n36,g68,g30
n37,g22,g40
n38,g71,g80
n39,g55,g73
n40,g15,g80
n41,g50,g90
n42,g70,g73
n43,g4,g25
n44,g26,g54
n45,g89,g47
n46,g91,g43
n47,g66,g18
n48,g28,g72
n49,g87,g37
n50,g52,g92
n51,g21,g48
n52,g50,g37
n53,g71,g42
n54,g95,g8
n55,g65,g46
n56,g16,g52
n57,g85,g89
n58,g85,g96
n59,g54,g0
n60,g15,g88
n61,g68,g17
n62,g4,g87
n63,g19,g8
n64,g84,g34
