n0,g81,g67
n1,g94,g42
n2,g46,g11
n3,g53,g46
n4,g11,g73
n5,g30,g78
n6,g87,g90
n7,g81,g8
n8,g46,g28
n9,g52,g35
n10,g5,g97
n11,g11,g24
n12,g74,g77
n13,g83,g62
n14,g83,g78
n15,g88,g35
n16,g66,g72
n17,g2,g65
n18,g6,g27
n19,g34,g53
n20,g40,g3
n21,g26,g19
n22,g47,g30
n23,g19,g22
n24,g96,g58
n25,g61,g6
n26,g23,g39
n27,g1,g8
n28,g14,g8
n29,g7,g37
n30,g0,g74
n31,g43,g73
n32,g13,g6
n33,g32,g86
n34,g22,g52
n35,g74,g6
n36,g55,g45
n37,g78,g43
n38,g3,g12
n39,g24,g8
n40,g71,g11
n41,g87,g89
n42,g44,g51
n43,g46,g75
n44,g9,g49
n45,g84,g58
n46,g83,g91
n47,g47,g78
n48,g45,g66
