n0,g21,g53
n1,g57,g36
n2,g69,g15
n3,g29,g58
n4,g37,g61
n5,g55,g78
n6,g27,g19
n7,g55,g56
n8,g7,g75
n9,g94,g79
n10,g94,g84
n11,g74,g65
n12,g57,g45
n13,g39,g33
n14,g19,g31
n15,g88,g14
n16,g60,g26
n17,g39,g11
n18,g52,g42
n19,g4,g44
n20,g1,g98
n21,g92,g12
n22,g82,g62
n23,g78,g22
n24,g78,g68
n25,g61,g76
n26,g94,g85
n27,g9,g73
n28,g94,g31
n29,g40,g54
n30,g20,g39
n31,g55,g68
n32,g10,g99
n33,g37,g29
n34,g11,g63
n35,g81,g15
n36,g54,g71
n37,g67,g25
n38,g15,g33
n39,g45,g42
n40,g54,g81
n41,g9,g98
n42,g23,g87
n43,g86,g96
n44,g97,g88
n45,g27,g78
n46,g48,g5
n47,g44,g20
n48,g99,g50
n49,g52,g7
n50,g49,g93
n51,g10,g1
n52,g91,g72
n53,g13,g44
n54,g39,g76
n55,g47,g38
n56,g80,g88
n57,g7,g82
n58,g48,g52
n59,g64,g68
n60,g44,g27
n61,g16,g14
n62,g7,g10
n63,g38,g51
n64,g10,g72
n65,g9,g12
n66,g38,g82
