n0,g32,g27
n1,g98,g75
n2,g56,g46
n3,g3,g33
n4,g46,g93
n5,g70,g92
n6,g6,g82
n7,g58,g20
n8,g21,g91
n9,g12,g49
n10,g81,g58
n11,g73,g94
n12,g90,g35
n13,g48,g40
n14,g30,g11
n15,g25,g58
n16,g48,g51
n17,g14,g68
n18,g79,g89
n19,g16,g63
n20,g20,g23
n21,g10,g31
n22,g70,g11
n23,g45,g84
n24,g76,g71
n25,g66,g0
n26,g12,g68
n27,g91,g48
n28,g43,g55
n29,g29,g62
n30,g94,g25
n31,g29,g78
n32,g19,g39
n33,g84,g87
n34,g15,g96
n35,g65,g60
n36,g6,g95
n37,g78,g32
n38,g13,g3
n39,g6,g66
n40,g55,g50
n41,g59,g81
n42,g92,g18
n43,g74,g23
n44,g91,g38
n45,g29,g3
n46,g30,g4
n47,g18,g41
