n0,g1,g57
n1,g35,g39
n2,g22,g97
n3,g98,g5
n4,g59,g28
n5,g34,g85
n6,g80,g34
n7,g70,g18
n8,g55,g92
n9,g89,g5
n10,g35,g58
n11,g81,g79
n12,g41,g62
n13,g54,g88
n14,g54,g21
n15,g98,g52
n16,g36,g86
n17,g71,g12
n18,g21,g20
n19,g55,g19
n20,g93,g48
n21,g83,g1
n22,g83,g14
n23,g89,g67
n24,g53,g61
n25,g25,g45
n26,g16,g47
n27,g87,g26
n28,g13,g90
n29,g44,g76
n30,g78,g68
n31,g96,g25
n32,g4,g1
n33,g21,g45
n34,g12,g34
n35,g99,g60
n36,g86,g64
n37,g86,g79
n38,g47,g28
n39,g82,g12
n40,g5,g3
n41,g42,g51
n42,g64,g13
n43,g29,g42
n44,g38,g29
