n70,g45,g13
n65,g20,g49
n6,g79,g9
n35,g93,g82
n4,g19,g71
n32,g19,g1
n26,g7,g37
n21,g35,g80
n60,g73,g11
n20,g48,g20
n51,g16,g66
n69,g73,g72
n71,g67,g8
n28,g81,g94
n14,g63,g20
n45,g20,g66
n39,g23,g9
n5,g60,g77
n23,g93,g84
n24,g43,g50
n54,g1,g95
n16,g29,g74
n17,g2,g14
n18,g29,g94
n63,g46,g98
n9,g79,g52
n25,g62,g64
n30,g34,g71
n31,g24,g8
n10,g5,g39
n43,g3,g96
n68,g60,g17
n34,g64,g42
n8,g52,g70
n53,g94,g2
n55,g82,g42
n38,g91,g98
n33,g31,g6
n62,g51,g71
n11,g58,g17
n27,g32,g89
n50,g59,g79
n44,g68,g23
n12,g64,g23
n67,g22,g1
n0,g93,g47
n22,g4,g25
n58,g31,g7
n36,g22,g53
n42,g99,g48
n61,g72,g38
n3,g3,g8
n29,g31,g42
n47,g39,g79
n49,g76,g65
n52,g4,g77
n59,g20,g28
n57,g30,g10
n66,g64,g59
n37,g15,g5
n13,g27,g17
n40,g69,g74
n19,g1,g84
n46,g85,g64
n7,g25,g36
n15,g21,g72
n48,g86,g99
n41,g50,g4
n64,g18,g26
n56,g70,g29
n2,g97,g25
n1,g53,g68
