n0,g28,g84
n1,g16,g55
n2,g49,g68
n3,g98,g76
n4,g48,g5
n5,g50,g76
n6,g6,g53
n7,g6,g32
n8,g74,g97
n9,g55,g64
n10,g96,g99
n11,g32,g66
n12,g13,g44
n13,g46,g47
n14,g29,g90
n15,g97,g0
n16,g63,g29
n17,g67,g5
n18,g77,g26
n19,g50,g53
n20,g64,g8
n21,g32,g50
n22,g19,g86
n23,g4,g5
n24,g52,g69
n25,g85,g48
n26,g13,g29
n27,g1,g23
n28,g2,g64
n29,g36,g12
n30,g50,g41
n31,g48,g90
n32,g39,g60
n33,g23,g99
n34,g94,g40
n35,g18,g63
n36,g22,g30
n37,g97,g28
n38,g54,g7
n39,g16,g93
n40,g5,g27
n41,g35,g54
n42,g25,g55
n43,g64,g61
n44,g5,g88
n45,g61,g44
n46,g70,g16
n47,g42,g83
n48,g60,g34
n49,g68,g53
n50,g80,g69
n51,g7,g27
n52,g23,g89
n53,g97,g8
n54,g41,g73
n55,g18,g46
n56,g73,g57
n57,g51,g2
n58,g70,g54
n59,g10,g91
n60,g53,g87
n61,g9,g1
n62,g18,g37
n63,g59,g69
n64,g83,g31
