n0,g55,g82
n1,g12,g91
n2,g26,g73
n3,g93,g22
n4,g5,g36
n5,g35,g28
n6,g34,g51
n7,g69,g65
n8,g50,g87
n9,g79,g83
n10,g65,g64
n11,g23,g70
n12,g91,g97
n13,g91,g83
n14,g91,g38
n15,g91,g8
n16,g87,g49
n17,g9,g27
n18,g3,g50
n19,g45,g16
n20,g15,g39
n21,g57,g41
n22,g84,g18
n23,g52,g25
n24,g58,g67
n25,g76,g99
n26,g92,g74
n27,g58,g63
n28,g78,g48
n29,g23,g42
n30,g31,g42
n31,g9,g73
n32,g8,g20
n33,g17,g63
n34,g42,g81
n35,g63,g36
n36,g10,g48
n37,g32,g63
n38,g44,g88
n39,g14,g71
n40,g17,g15
n41,g31,g18
n42,g37,g14
n43,g42,g67
n44,g88,g83
n45,g61,g17
n46,g37,g43
n47,g42,g22
n48,g30,g40
n49,g3,g59
n50,g44,g3
n51,g40,g23
n52,g82,g34
n53,g96,g29
n54,g15,g11
n55,g7,g68
n56,g36,g72
n57,g73,g61
