n70,g44,g91
n65,g9,g53
n6,g42,g10
n35,g22,g97
n4,g3,g38
n32,g72,g19
n26,g72,g14
n21,g78,g36
n60,g36,g82
n20,g99,g1
n51,g14,g1
n69,g35,g21
n71,g56,g24
n28,g82,g4
n14,g73,g71
n45,g16,g69
n39,g59,g53
n5,g14,g53
n23,g38,g93
n24,g90,g26
n54,g83,g15
n16,g48,g89
n17,g0,g41
n18,g5,g16
n63,g57,g34
n9,g74,g6
n25,g80,g0
n30,g71,g78
n31,g88,g66
n10,g41,g20
n43,g96,g95
n68,g64,g49
n34,g93,g48
n8,g60,g51
n53,g91,g7
n55,g39,g60
n38,g89,g78
n33,g24,g21
n62,g85,g90
n11,g54,g85
n27,g54,g36
n50,g2,g27
n44,g32,g24
n12,g70,g19
n67,g54,g37
n0,g62,g59
n22,g38,g34
n58,g98,g67
n36,g91,g94
n42,g3,g63
n61,g32,g42
n3,g37,g82
n29,g52,g38
n47,g55,g48
n49,g94,g17
n52,g85,g6
n59,g65,g58
n57,g98,g69
n66,g3,g93
n37,g36,g57
n13,g64,g4
n40,g37,g24
n19,g83,g16
n46,g46,g28
n7,g84,g16
n15,g73,g57
n48,g92,g7
n41,g90,g63
n64,g22,g44
n56,g88,g47
n2,g58,g19
n1,g28,g58
