n70,g16,g50
n65,g14,g77
n6,g24,g16
n35,g28,g80
n4,g13,g91
n32,g53,g12
n72,g39,g94
n83,g56,g33
n74,g14,g7
n26,g59,g10
n21,g49,g25
n60,g88,g30
n20,g39,g12
n73,g25,g64
n51,g51,g23
n69,g9,g46
n71,g47,g42
n28,g60,g16
n77,g9,g44
n14,g41,g54
n45,g29,g32
n39,g46,g74
n5,g22,g59
n23,g78,g1
n24,g71,g76
n54,g27,g21
n16,g65,g23
n82,g92,g37
n17,g15,g88
n18,g27,g39
n63,g61,g57
n9,g93,g28
n25,g89,g22
n30,g66,g17
n31,g20,g14
n10,g7,g5
n43,g89,g86
n68,g88,g82
n34,g32,g74
n8,g97,g51
n79,g47,g70
n53,g67,g74
n55,g28,g10
n38,g42,g25
n33,g71,g77
n62,g62,g66
n11,g49,g84
n27,g94,g41
n50,g65,g26
n44,g39,g45
n12,g41,g23
n67,g95,g93
n75,g32,g51
n80,g59,g84
n0,g58,g10
n22,g52,g1
n81,g42,g17
n58,g25,g82
n36,g45,g33
n42,g71,g60
n61,g58,g67
n78,g74,g97
n3,g36,g11
n29,g60,g59
n47,g18,g71
n49,g60,g41
n52,g4,g53
n59,g89,g19
n57,g43,g91
n66,g58,g86
n37,g99,g41
n13,g37,g38
n40,g3,g35
n19,g1,g20
n46,g15,g90
n7,g43,g90
n15,g8,g85
n48,g98,g80
n41,g85,g18
n76,g44,g47
n64,g69,g27
n56,g31,g20
n2,g12,g13
n1,g18,g66
