n0,g15,g21
n1,g20,g54
n2,g13,g82
n3,g99,g0
n4,g88,g78
n5,g35,g44
n6,g14,g94
n7,g26,g32
n8,g95,g89
n9,g28,g89
n10,g95,g6
n11,g13,g3
n12,g48,g55
n13,g35,g51
n14,g54,g92
n15,g81,g84
n16,g24,g26
n17,g29,g10
n18,g37,g45
n19,g60,g36
n20,g21,g86
n21,g78,g14
n22,g89,g20
n23,g90,g34
n24,g62,g19
n25,g74,g9
n26,g1,g26
n27,g56,g45
n28,g67,g51
n29,g78,g24
n30,g73,g14
n31,g97,g93
n32,g63,g35
n33,g86,g2
n34,g49,g55
n35,g74,g99
n36,g28,g51
n37,g11,g5
n38,g91,g90
n39,g35,g71
n40,g36,g95
n41,g72,g93
n42,g41,g61
n43,g55,g26
n44,g66,g49
n45,g63,g27
n46,g39,g43
n47,g99,g81
n48,g99,g18
n49,g22,g84
n50,g61,g1
n51,g83,g18
n52,g66,g12
n53,g80,g23
n54,g17,g29
n55,g84,g63
n56,g9,g87
n57,g86,g34
