n0,g26,g40
n1,g21,g1
n2,g36,g45
n3,g0,g25
n4,g14,g35
n5,g30,g48
n6,g74,g1
n7,g8,g32
n8,g19,g31
n9,g16,g51
n10,g95,g26
n11,g11,g71
n12,g63,g36
n13,g19,g43
n14,g79,g96
n15,g51,g74
n16,g78,g41
n17,g37,g73
n18,g84,g86
n19,g86,g11
n20,g0,g81
n21,g57,g98
n22,g70,g95
n23,g48,g89
n24,g43,g59
n25,g15,g50
n26,g88,g83
n27,g83,g71
n28,g95,g34
n29,g0,g90
n30,g66,g95
n31,g10,g52
n32,g6,g89
n33,g45,g51
n34,g83,g96
n35,g66,g57
n36,g73,g62
n37,g24,g12
n38,g56,g79
n39,g64,g25
n40,g19,g49
n41,g76,g64
n42,g34,g99
n43,g52,g48
n44,g56,g37
n45,g47,g84
n46,g74,g87
n47,g33,g88
n48,g27,g59
n49,g89,g52
n50,g61,g86
n51,g16,g77
n52,g65,g9
