n0,g54,g60
n1,g49,g69
n2,g60,g30
n3,g52,g88
n4,g98,g48
n5,g71,g42
n6,g82,g28
n7,g2,g15
n8,g99,g65
n9,g36,g99
n10,g32,g55
n11,g20,g49
n12,g50,g51
n13,g75,g65
n14,g25,g97
n15,g74,g55
n16,g34,g2
n17,g68,g62
n18,g5,g84
n19,g26,g27
n20,g25,g80
n21,g64,g3
n22,g49,g0
n23,g50,g77
n24,g20,g32
n25,g4,g87
n26,g56,g86
n27,g69,g30
n28,g12,g17
n29,g21,g78
n30,g3,g97
n31,g73,g3
n32,g89,g17
n33,g94,g38
n34,g9,g59
n35,g90,g71
n36,g96,g27
n37,g83,g39
n38,g25,g76
n39,g64,g81
n40,g38,g26
n41,g85,g96
n42,g47,g98
n43,g95,g28
n44,g56,g29
n45,g47,g42
n46,g98,g69
n47,g11,g52
n48,g83,g27
n49,g23,g97
n50,g7,g72
