n0,g2,g14
n1,g85,g64
n2,g93,g46
n3,g95,g23
n4,g36,g79
n5,g5,g98
n6,g48,g86
n7,g51,g69
n8,g9,g43
n9,g62,g10
n10,g6,g28
n11,g56,g94
n12,g7,g78
n13,g51,g71
n14,g36,g70
n15,g13,g2
n16,g65,g13
n17,g27,g89
n18,g14,g83
n19,g73,g42
n20,g41,g76
n21,g67,g31
n22,g80,g1
n23,g64,g32
n24,g66,g79
n25,g57,g59
n26,g73,g2
n27,g31,g38
n28,g40,g9
n29,g80,g24
n30,g45,g90
n31,g6,g99
n32,g60,g7
n33,g48,g54
n34,g45,g34
n35,g99,g88
n36,g20,g95
n37,g77,g42
n38,g6,g7
n39,g52,g12
n40,g88,g52
n41,g17,g24
n42,g79,g68
n43,g5,g20
n44,g59,g97
n45,g95,g61
n46,g13,g75
n47,g58,g90
n48,g76,g6
n49,g20,g81
n50,g61,g5
