n0,g72,g73
n1,g24,g70
n2,g16,g34
n3,g74,g4
n4,g83,g85
n5,g45,g88
n6,g41,g86
n7,g73,g2
n8,g40,g76
n9,g84,g90
n10,g55,g85
n11,g6,g50
n12,g58,g43
n13,g37,g77
n14,g66,g39
n15,g12,g30
n16,g90,g45
n17,g17,g99
n18,g37,g95
n19,g40,g23
n20,g24,g91
n21,g75,g87
n22,g59,g69
n23,g27,g19
n24,g40,g71
n25,g78,g28
n26,g93,g39
n27,g38,g16
n28,g40,g54
n29,g25,g53
n30,g98,g2
n31,g84,g27
n32,g48,g35
n33,g1,g99
n34,g68,g2
n35,g7,g12
n36,g73,g76
n37,g10,g88
n38,g4,g81
n39,g54,g36
n40,g51,g38
n41,g34,g33
n42,g12,g85
n43,g34,g28
n44,g18,g12
n45,g25,g8
n46,g82,g10
n47,g23,g16
n48,g8,g67
n49,g1,g44
n50,g36,g93
n51,g82,g3
n52,g32,g79
