n70,g59,g74
n65,g66,g70
n6,g41,g15
n35,g94,g20
n4,g42,g80
n32,g46,g92
n72,g19,g24
n74,g15,g50
n26,g82,g20
n21,g63,g66
n60,g64,g32
n20,g96,g39
n73,g90,g91
n51,g68,g58
n69,g58,g56
n71,g96,g13
n28,g51,g42
n77,g11,g75
n14,g77,g93
n45,g20,g95
n39,g70,g10
n5,g0,g72
n23,g87,g76
n24,g36,g49
n54,g1,g54
n16,g35,g32
n17,g49,g70
n18,g34,g0
n63,g12,g36
n9,g17,g25
n25,g95,g1
n30,g5,g25
n31,g51,g1
n10,g53,g79
n43,g10,g92
n68,g76,g60
n34,g83,g33
n8,g15,g66
n79,g20,g28
n53,g45,g85
n55,g83,g29
n38,g96,g72
n33,g79,g61
n62,g35,g20
n11,g62,g22
n27,g3,g91
n50,g97,g61
n44,g7,g9
n12,g55,g89
n67,g37,g4
n75,g17,g64
n80,g4,g69
n0,g98,g73
n22,g79,g8
n58,g22,g3
n36,g30,g93
n42,g74,g37
n61,g19,g29
n78,g75,g5
n3,g23,g29
n29,g57,g34
n47,g54,g42
n49,g91,g53
n52,g82,g45
n59,g37,g72
n57,g22,g21
n66,g30,g12
n37,g72,g28
n13,g42,g29
n40,g45,g2
n19,g16,g17
n46,g79,g82
n7,g76,g85
n15,g96,g63
n48,g75,g25
n41,g14,g30
n76,g69,g11
n64,g18,g71
n56,g86,g75
n2,g8,g53
n1,g42,g2
